REMOVE_RANDOM_ECO_REFORMS_EFFECT; 경제개혁(쬟$VAL$?)을 철회합니다.\n;Suppression de 쬟$VAL$? r?ormes ?onomiques.\n;쬟$VAL$? ?onomische Reformen entfernen.\n;;;;;;;;;;;x
REMOVE_RANDOM_MIL_REFORMS_EFFECT; 군사개혁(쬟$VAL$?)을 철회합니다.\n;Suppression de 쬟$VAL$? r?ormes militaires.\n;쬟$VAL$? milit?ische Reformen entfernen.\n;;;;;;;;;;;x
party_loyalty_focus;애당심;;;;;;;;;;;;x
NORMAL_WAR_CONQUEST_NAME_ENG_USA;$ORDER$$SECOND_COUNTRY$ 영미전쟁;;;;;;;;;;;;x
NORMAL_WAR_HUMILIATE_NAME;$ORDER$$FIRST_COUNTRY$-$SECOND_COUNTRY$ 명예실추 전쟁;;;;;;;;;;;x
NORMAL_WAR_UNIFICATION_NAME_PRU_FRA;$ORDER$프로이센-프랑스 전쟁;;;;;;;;;;;;x
NORMAL_WAR_UNIFICATION_NAME_NGF_FRA;$ORDER$프로이센-프랑스 전쟁;;;;;;;;;;;;x
OK;예;;;;;;;;;;;;x
in_bankrupcy;파산;;;;;;;;;;;;x
in_bankrupcy_desc;파산했습니다!;;;;;;;;;;;;x
fascist_focus_short;쬨파쇼주의쬦 애당심;;;;;;;;;;;;x
reactionary_focus_short;쬨반동주의쬦 애당심;;;;;;;;;;;;x
conservative_focus_short;쬨보수주의쬦 애당심;;;;;;;;;;;;x
socialist_focus_short;쬨사회주의쬦 애당심;;;;;;;;;;;;x
communist_focus_short;쬨공산주의쬦 애당심;;;;;;;;;;;;x
liberal_focus_short;쬨자유주의쬦 애당심;;;;;;;;;;;;x
anarcho_liberal_focus_short;쬨아나르코자본주의쬦 애당심;;;;;;;;;;;;x
AGRESSION_WAR_INDEPENDENCE_NAME;$ORDER$$FIRST_COUNTRY$ 독립전쟁;$ORDER$$FIRST$ War of Independence;;;;;;;;;;;;x
arab;아랍;;;;;;;;;;;;x
form_arabia_title;아라비아 결성;;;;;;;;;;;;x
form_arabia_desc;형제들이여, 자유가 이곳에 있습니다. 우리는 운명을 건 전투에서 승리했습니다. 이제 아랍인들은 부활의 길에 섰습니다!;;;;;;;;;;;;x
